,LHS,RHS,antecedent support,consequent support,support,confidence,lift,leverage,conviction
0,ปังพี่บัฟไส้สตรอเบอร์รี่20฿,ปังพี่บัฟไส้สังขยาใบเตย20฿,0.18947368421052632,0.2631578947368421,0.10175438596491228,0.537037037037037,2.0407407407407407,0.051892890120036936,1.591578947368421
1,ปังพี่บัฟไส้สังขยาใบเตย20฿,ปังพี่บัฟไส้สตรอเบอร์รี่20฿,0.2631578947368421,0.18947368421052632,0.10175438596491228,0.38666666666666666,2.0407407407407407,0.051892890120036936,1.3215102974828377
2,ปังพี่บัฟไส้สตรอเบอร์รี่20฿,ปังพี่บั๊ฟไส้มัลเบอร์รี่20฿,0.18947368421052632,0.23157894736842105,0.10175438596491228,0.537037037037037,2.3190235690235688,0.05787626962142197,1.6597894736842103
3,ปังพี่บั๊ฟไส้มัลเบอร์รี่20฿,ปังพี่บัฟไส้สตรอเบอร์รี่20฿,0.23157894736842105,0.18947368421052632,0.10175438596491228,0.4393939393939394,2.3190235690235688,0.05787626962142197,1.4458036984352776
4,ปังพี่บัฟไส้สตรอเบอร์รี่20฿,ปังพี่บั๊ฟไส้สังขยาชาไทย20฿,0.18947368421052632,0.22456140350877193,0.0912280701754386,0.4814814814814815,2.1440972222222223,0.04867959372114497,1.4954887218045112
5,ปังพี่บั๊ฟไส้สังขยาชาไทย20฿,ปังพี่บัฟไส้สตรอเบอร์รี่20฿,0.22456140350877193,0.18947368421052632,0.0912280701754386,0.40625,2.1440972222222223,0.04867959372114497,1.3650969529085872
6,ปังพี่บั๊ฟไส้หมูซีอิ๋ว20฿,ปังพี่บัฟไส้สตรอเบอร์รี่20฿,0.21052631578947367,0.18947368421052632,0.06666666666666667,0.3166666666666667,1.6712962962962965,0.02677746999076639,1.1861360718870346
7,ปังพี่บัฟไส้สตรอเบอร์รี่20฿,ปังพี่บั๊ฟไส้หมูซีอิ๋ว20฿,0.18947368421052632,0.21052631578947367,0.06666666666666667,0.35185185185185186,1.6712962962962965,0.02677746999076639,1.218045112781955
8,ปังพี่บัฟไส้สตรอเบอร์รี่20฿,ปังพี่บั๊ฟไส้หมูหยองมายองเนส20฿,0.18947368421052632,0.16842105263157894,0.056140350877192984,0.2962962962962963,1.7592592592592593,0.02422899353647276,1.1817174515235458
9,ปังพี่บั๊ฟไส้หมูหยองมายองเนส20฿,ปังพี่บัฟไส้สตรอเบอร์รี่20฿,0.16842105263157894,0.18947368421052632,0.056140350877192984,0.33333333333333337,1.7592592592592593,0.02422899353647276,1.2157894736842105
10,ปังพี่บัฟไส้สตรอเบอร์รี่20฿,ปังพี่บั๊ฟไส้หมูแดง20฿,0.18947368421052632,0.2,0.06666666666666667,0.35185185185185186,1.7592592592592593,0.0287719298245614,1.2342857142857144
11,ปังพี่บั๊ฟไส้หมูแดง20฿,ปังพี่บัฟไส้สตรอเบอร์รี่20฿,0.2,0.18947368421052632,0.06666666666666667,0.3333333333333333,1.759259259259259,0.0287719298245614,1.2157894736842103
12,ปังพี่บัฟไส้สังขยาใบเตย20฿,ปังพี่บั๊ฟไส้นูเทลล่า30฿,0.2631578947368421,0.12631578947368421,0.06666666666666667,0.25333333333333335,2.0055555555555555,0.033425669436749766,1.1701127819548873
13,ปังพี่บั๊ฟไส้นูเทลล่า30฿,ปังพี่บัฟไส้สังขยาใบเตย20฿,0.12631578947368421,0.2631578947368421,0.06666666666666667,0.5277777777777778,2.0055555555555555,0.033425669436749766,1.560371517027864
14,ปังพี่บัฟไส้สังขยาใบเตย20฿,ปังพี่บั๊ฟไส้มอสซ่าเรล่าชีส30฿,0.2631578947368421,0.1649122807017544,0.07368421052631578,0.27999999999999997,1.6978723404255316,0.030286241920590942,1.1598440545808966
15,ปังพี่บั๊ฟไส้มอสซ่าเรล่าชีส30฿,ปังพี่บัฟไส้สังขยาใบเตย20฿,0.1649122807017544,0.2631578947368421,0.07368421052631578,0.4468085106382978,1.6978723404255318,0.030286241920590942,1.331983805668016
16,ปังพี่บัฟไส้สังขยาใบเตย20฿,ปังพี่บั๊ฟไส้มัลเบอร์รี่20฿,0.2631578947368421,0.23157894736842105,0.12280701754385964,0.4666666666666667,2.015151515151515,0.061865189289012,1.4407894736842104
17,ปังพี่บั๊ฟไส้มัลเบอร์รี่20฿,ปังพี่บัฟไส้สังขยาใบเตย20฿,0.23157894736842105,0.2631578947368421,0.12280701754385964,0.5303030303030303,2.015151515151515,0.061865189289012,1.568760611205433
18,ปังพี่บัฟไส้สังขยาใบเตย20฿,ปังพี่บั๊ฟไส้สังขยาชาไทย20฿,0.2631578947368421,0.22456140350877193,0.14385964912280702,0.5466666666666667,2.434375,0.0847645429362881,1.710526315789474
19,ปังพี่บั๊ฟไส้สังขยาชาไทย20฿,ปังพี่บัฟไส้สังขยาใบเตย20฿,0.22456140350877193,0.2631578947368421,0.14385964912280702,0.640625,2.434375,0.0847645429362881,2.0503432494279177
20,ปังพี่บัฟไส้สังขยาใบเตย20฿,ปังพี่บั๊ฟไส้สังขยามันม่วง20฿,0.2631578947368421,0.11578947368421053,0.08771929824561403,0.3333333333333333,2.8787878787878785,0.05724838411819021,1.3263157894736841
21,ปังพี่บั๊ฟไส้สังขยามันม่วง20฿,ปังพี่บัฟไส้สังขยาใบเตย20฿,0.11578947368421053,0.2631578947368421,0.08771929824561403,0.7575757575757576,2.878787878787879,0.05724838411819021,3.0394736842105265
